canonical_concept,canonical_property,type,source_system,source_entity,source_field,transform,notes
Transaction,id,String,Payment Gateway,transactions,txn_id,none,UUID format
Transaction,amount,Money,Payment Gateway,transactions,amount_cents,cents_to_decimal,Divide by 100; store as decimal with 2 places
Transaction,currency,String,Payment Gateway,transactions,currency_code,none,ISO 4217 three-letter code
Transaction,status,Enum,Payment Gateway,transactions,txn_status,enum_map,"Map: pending->initiated, approved->authorized, charged->captured, paid->settled, failed->declined"
Transaction,payment_method_token,String,Payment Gateway,transactions,card_token,none,Foreign key to PaymentMethod.token
Transaction,merchant_id,String,Payment Gateway,transactions,merchant_ref,none,Foreign key to Merchant.id
Transaction,created_at,DateTime,Payment Gateway,transactions,created_at,timezone_normalize,Normalize to UTC
PaymentMethod,token,String,Payment Gateway,payment_methods,token,none,Vault-generated token
PaymentMethod,last_four,String,Payment Gateway,payment_methods,card_last4,none,Last four digits of card number
PaymentMethod,card_network,Enum,Payment Gateway,payment_methods,network,enum_map,"Map: V->visa, MC->mastercard, AX->amex, DS->discover"
Merchant,id,String,Merchant Portal,merchants,merchant_id,none,UUID format
Merchant,legal_name,String,Merchant Portal,merchants,legal_name,none,Official registered business name
Merchant,status,Enum,Merchant Portal,merchants,status,enum_map,"Map: new->pending, live->active, paused->suspended, closed->deactivated"
SettlementBatch,id,String,Billing Ledger,settlement_batches,batch_id,none,Date-based identifier
Chargeback,id,String,Billing Ledger,chargeback_records,cb_id,none,UUID format
FraudCase,id,String,Fraud Engine,fraud_cases,case_id,none,UUID format
FraudCase,risk_score,Integer,Fraud Engine,fraud_cases,score,none,Scale 0-1000
