source_system,source_entity,source_field,canonical_concept,canonical_property,mapping_type,confidence,notes
Payment Gateway,transactions,txn_id,Transaction,id,direct,high,Primary key mapping
Payment Gateway,transactions,amount_cents,Transaction,amount,transform,high,Convert cents to decimal
Payment Gateway,transactions,currency_code,Transaction,currency,direct,high,ISO 4217 codes
Payment Gateway,transactions,txn_status,Transaction,status,enum_map,high,Map gateway statuses to canonical enum
Payment Gateway,transactions,card_token,Transaction,payment_method_token,direct,high,References tokenized payment method
Payment Gateway,transactions,merchant_ref,Transaction,merchant_id,direct,high,Foreign key to merchant
Payment Gateway,payment_methods,token,PaymentMethod,token,direct,high,Primary key mapping
Payment Gateway,payment_methods,card_last4,PaymentMethod,last_four,direct,high,Last four digits of card
Payment Gateway,payment_methods,network,PaymentMethod,card_network,enum_map,high,Map to canonical network names
Billing Ledger,settlement_batches,batch_id,SettlementBatch,id,direct,high,Primary key mapping
Billing Ledger,settlement_batches,batch_date,SettlementBatch,batch_date,direct,high,Date of settlement batch
Billing Ledger,settlement_batches,total_amount,SettlementBatch,total_amount,transform,high,Convert from cents to decimal
Billing Ledger,ledger_entries,entry_id,Account,id,indirect,medium,Ledger entries aggregate into account balance
Billing Ledger,chargeback_records,cb_id,Chargeback,id,direct,high,Primary key mapping
Billing Ledger,chargeback_records,reason,Chargeback,reason_code,direct,high,Card network reason code
Merchant Portal,merchants,merchant_id,Merchant,id,direct,high,Primary key mapping
Merchant Portal,merchants,legal_name,Merchant,legal_name,direct,high,Official business name
Merchant Portal,merchants,dba,Merchant,dba_name,direct,high,Doing business as name
Merchant Portal,merchants,status,Merchant,status,enum_map,high,Map portal statuses to canonical enum
Merchant Portal,fee_configs,config_id,FeeSchedule,id,direct,high,Primary key mapping
Merchant Portal,fee_configs,txn_flat,FeeSchedule,per_txn_flat_fee,transform,medium,Convert from basis points
Fraud Engine,fraud_cases,case_id,FraudCase,id,direct,high,Primary key mapping
Fraud Engine,fraud_cases,score,FraudCase,risk_score,direct,high,Numeric risk score 0-1000
Fraud Engine,fraud_cases,case_status,FraudCase,status,enum_map,high,Map engine statuses to canonical enum
Legacy ERP,vendor_master,vendor_id,Merchant,id,transform,medium,Requires ID translation table from migration
Legacy ERP,payment_document,doc_number,Transaction,id,transform,low,Historical mapping; not 1:1 — ERP groups related payments
